Pergunta;Opcao1;Opcao2;Opcao3;Opcao4;Opcao5;Correta;Faixa;Midia;CreditoNome;CreditoLink;;CATEGORIA
calça do jūdōgi;shitabaki;uwagi;obi;zōri;;shitabaki;branca;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
casaco do jūdōgi;uwagi;shitabaki;obi;zōri;;uwagi;branca;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Comece!;Hajime!;Mate!;Yoshi!;Yame!;;Hajime!;branca;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Comece!;Hajime!;Mate!;Yoshi!;Yame!;;Hajime!;cinza;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Como é comandada a saudação para mais de um professor no dōjō?;SENSEI-GATA-NI-REI;SENSEIS-NI-REI;SENSEI-NI-REI;REI-SENSEI;;SENSEI-GATA-NI-REI;verde;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Como se chama a competição de luta no judô?;shiai;MMA;randori;luta;;shiai;cinza;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Como se chama a prática de ""repetições de entradas"" de técnicas no judô?";uchi-komi;nage-komi;yakusoku-geiko;randori-geiko;;uchi-komi;azul;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Como se chama a prática/treinamento livre de judô (a luta no treino)?;randori;shiai;uchikomi;kata;;randori;azul;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Como se chama o sistema de graduações adotado nas artes marciais pela primeira vez por Jigorō Kanō?;kyū / dan;menkyō;mokuroku;patentes;;kyū / dan;azul;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Continue!;Yoshi!;Hajime!;Sonomama!;Mate!;;Yoshi!;verde;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
De acordo com a Kōdōkan, como deve ser usado o termo SHIHAN?;Somente como honorífico para Jigorō Kanō.;Como honorífico para os faixas vermelhas.;Como honorífico para todos os kodansha.;Como honorifico para todos os yudansha.;;Somente como honorífico para Jigorō Kanō.;verde;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
de nada;dõitashimashite;arigatō;sumimasen;onegaishimasu;;dõitashimashite;laranja;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"desculpe; com licença";sumimasen;onegaishimasu;arigatō;dõitashimashite;;sumimasen;azul;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
desequilíbrio em oito direções;happo-no-kuzushi;hachi-no-kuzushi;kuzushi;mae-kuzushi;;happo-no-kuzushi;laranja;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Em japonês, qual a pronúncia de SENSEI?;"/SENSEE/ com som de ""EE"" no final.";"/SENSEI/ com som de ""El"" no final.";"/SENSII/ com som de ""II"" no final.";"/SENSE/ com som de ""E"" no final.";;"/SENSEE/ com som de ""EE"" no final.";roxa;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Escolha a melhor representação em japonês para as expressões em português: aquele que aplica a técnica e o que recebe a técnica;tori e uke;azul e branco;sensei e aluno;uke e tori;;tori e uke;branca;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Escolha a melhor representação em japonês para as expressões em português: local de competição;shiaijō;dōjō;tatami;área;;shiaijō;azul;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Escolha a melhor representação em japonês para as expressões em português: local de treinamento;dōjō;shiai-jõ;tatami;quadra;;dōjō;cinza;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
faixa do jūdōgi;obi;shitabaki;uwagi;zōri;;obi;branca;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
faixa vermelha e branca;kōhaku-obi;kōdansha;aka-obi;kuro-obi;;kōhaku-obi;verde;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
hyaku;100;1000;50;10;;100;laranja;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
jū-roku;16;60;14;19;;16;azul;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
mão que suspende / mão que puxa;tsurite/hikite;hikite/tsurite;te-waza;migi / hidari;;tsurite/hikite;verde;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
meditação;mokuso;seiza;uwagi;agura;;mokuso;amarela;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
não;iie;hai;yes;no;;iie;amarela;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
obrigado;arigatō;sumimasen;onegaishimasu;dõitashimashite;;arigatō;amarela;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
peça que compõe o local de treinamento;tatami/tatame;colchonete;dōjō;jūdōgi;;tatami/tatame;branca;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
por favor;onegaishimasu;sumimasen;arigatō;dõitashimashite;;onegaishimasu;azul;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
posição sentada de joelhos;seiza;agura;anza;zarei;;seiza;branca;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
posição sentada de joelhos;seiza;agura;anza;zarei;;seiza;cinza;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
posição sentada de pernas cruzadas;agura;chokuritsu;seiza;zarei;;agura;branca;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
posição sentada de pernas cruzadas;agura;chokuritsu;seiza;zarei;;agura;cinza;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
posturas defensivas;jigotai;shizentai;tai-sabaki;shintai;;jigotai;azul;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
posturas naturais;shizentai;jigotai;tai-sabaki;shintai;;shizentai;branca;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Qual a pronúncia de KESA?;/kessá/ com som de /SS/;/kezá/ com som de /Z/;/kedza/ com som de /DZ/;/kéza/ com som de /Z/;;/kessá/ com som de /SS/;branca;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Qual a pronúncia de RANDORI?;"/rANDORI/ com ""r"" fraco como em ""oração"" e com todas as sílabas no mesmo tom.";"/RANDORI/ com ""R"" forte como em ""rato"" e com a sílaba tônica no ""DÔ"".";"/rANDORI/ com ""r"" fraco como em ""oração"" e com a sílaba tônica no ""DO"".";"/RANDORI/ com ""R"" forte como em ""rato"" e com todas as sílabas no mesmo tom.";;"/rANDORI/ com ""r"" fraco como em ""oração"" e com todas as sílabas no mesmo tom.";cinza;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Qual é a pronúncia de OTOSHI?;"/OTOSHI/ com som fechado no primeiro e no segundo ""O"" como em ""vô""";"/OTÓSHI/ com som aberto no segundo ""O"" como em ""vó""";"/OTOSI/ com som de ""SI"" na sílaba final.";"/ÓTÓSHI/ com som aberto no primeiro e no segundo ""O"" como em ""vó""";;"/OTOSHI/ com som fechado no primeiro e no segundo ""O"" como em ""vô""";amarela;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Qual o significado da palavra judô?;caminho da suavidade;caminho da luta;arte suave;arte da luta;;caminho da suavidade;amarela;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"quem veio antes; ""professor""";sensei;shihan;sensei-ni;kanchō;;sensei;branca;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
saudação à frente;shōmen-ni-rei;sensei-ni-rei;otagai-ni-rei;rei;;shōmen-ni-rei;cinza;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
saudação ajoelhada;zarei;seiza;ritsurei;rei;;zarei;cinza;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
saudação ao professor;sensei-ni-rei;shōmen-ni-rei;otagai-ni-rei;rei;;sensei-ni-rei;azul;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
saudação em pé;ritsurei;zarei;otagai-ni-rei;rei;;ritsurei;cinza;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
saudação mútua;otagai-ni-rei;sensei-ni-rei;shōmen-ni-rei;rei;;otagai-ni-rei;laranja;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
sim;hai;iie;yes;no;;hai;cinza;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""projeção com"" elevação pelo quadril";hane-goshi;uki-goshi;ō-goshi;harai-goshi;;hane-goshi;laranja;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""projeção com"" grande rotação";ō-guruma;ashi-guruma;kata-guruma;ō-soto-guruma;;ō-guruma;verde;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""projeção com"" grande rotação externa";ō-soto-guruma;ashi-guruma;ō-soto-otoshi;ō-soto-makikomi;;ō-soto-guruma;roxa;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""projeção com"" o quadril por trás";ushiro-goshi;utsuri-goshi;tsuri-goshi;ura-nage;;ushiro-goshi;roxa;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""projeção com"" puxada pela manga e suspensão do quadril";sode-tsurikomi-goshi;tsurikomi-goshi;tsuri-goshi;harai-goshi;;sode-tsurikomi-goshi;roxa;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""projeção com"" rotação nos ombros";kata-guruma;ashi-guruma;ō-soto-guruma;koshi-guruma;;kata-guruma;laranja;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técníca: ""projeção com"" rotação para o lado";yoko-guruma;yoko-wakare;yoko-otoshi;yoko-gake;;yoko-guruma;roxa;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""projeção com"" separação de lados";yoko-wakare;yoko-guruma;yoko-otoshi;yoko-gake;;yoko-wakare;roxa;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""projeção com"" suspensão pelo quadril";tsuri-goshi;sode-tsurikomi-goshi;tsurikomi-goshi;harai-goshi;;tsuri-goshi;laranja;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""projeção com"" troca de quadril";utsuri-goshi;tsuri-goshi;ushiro-goshi;uki-goshi;;utsuri-goshi;verde;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""técnica de"" separação com abraço";daki-wakare;yoko-wakare;wakare-jime;kani-basami;;daki-wakare;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""técnica de"" suspensão abraçando";daki-age;yama-arashi;kuchiki-taoshi;yoko-guruma;;daki-age;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""técnica"" centripeta ""com varredura"" interna na coxa";uchi-mata-makikomi;harai-makikomi;hane-makikomi;uchi-makikomi;;uchi-mata-makikomi;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""técnica"" centripeta com elevação ""do quadril""";hane-makikomi;uchi-makikomi;soto-makikomi;harai-makikomi;;hane-makikomi;roxa;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""técnica"" centripeta com grande ""ceifada"" externa";ō-soto-makikomi;uchi-makikomi;harai-makikomi;hane-makikomi;;ō-soto-makikomi;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""técnica"" centripeta com varredura ""do quadril""";harai-makikomi;hane-makikomi;uchi-makikomi;soto-makikomi;;harai-makikomi;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""técnica"" centripeta externa";soto-makikomi;uchi-makikomi;hane-makikomi;harai-makikomi;;soto-makikomi;verde;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""técnica"" com flutuação no quadril";uki-goshi;ō-goshi;harai-goshi;tsuri-goshi;;uki-goshi;cinza;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""técnica"" com puxada e suspensão do quadril";tsurikomi-goshi;sode-tsurikomi-goshi;harai-tsurikomi-ashi;sasae-tsurikomi-ashi;;tsurikomi-goshi;amarela;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""variação"" da imobilização do ""manto""";kuzure-kesa-gatame;kesa-gatame;kata-gatame;hon-kesa-gatame;;kuzure-kesa-gatame;laranja;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""variação"" da imobilização dos quatro apoios ""pela cabeça""";kuzure-kami-shihō-gatame;kami-shihō-gatame;kuzure-kesa-gatame;tate-shihō-gatame;;kuzure-kami-shihō-gatame;laranja;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
"Técnica: ""varrida"" por entre as coxas";uchi-mata;harai-goshi;ō-uchi-gari;uchi-makikomi;;uchi-mata;amarela;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: ceifada com ambas as mãos;morote-gari;sukui-nage;kibisu-gaeshi;kuchiki-taoshi;;morote-gari;roxa;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: chave de braço com a axila;ude-hishigi-waki-gatame;ude-hishigi-hara-gatame;ude-hishigi-te-gatame;ude-hishigi-ude-gatame;;ude-hishigi-waki-gatame;azul;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: chave de braço com a mão;ude-hishigi-te-gatame;ude-hishigi-hara-gatame;ude-hishigi-waki-gatame;ude-hishigi-ude-gatame;;ude-hishigi-te-gatame;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: chave de braço com a perna;ude-hishigi-ashi-gatame;ude-hishigi-ude-gatame;ude-hishigi-hiza-gatame;ashi-garami;;ude-hishigi-ashi-gatame;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: chave de braço com o braço/mão;ude-hishigi-ude-gatame;ude-hishigi-sankaku-gatame;ude-hishigi-ashi-gatame;ude-hishigi-hiza-gatame;;ude-hishigi-ude-gatame;verde;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: chave de braço com o joelho;ude-hishigi-hiza-gatame;ude-hishigi-ude-gatame;ude-hishigi-sankaku-gatame;ude-hishigi-ashi-gatame;;ude-hishigi-hiza-gatame;azul;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: chave de braço com o ventre;ude-hishigi-hara-gatame;ude-hishigi-waki-gatame;ude-hishigi-te-gatame;ude-hishigi-ude-gatame;;ude-hishigi-hara-gatame;amarela;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: chave de braço em triângulo;ude-hishigi-sankaku-gatame;ude-hishigi-ude-gatame;ude-hishigi-ashi-gatame;ude-hishigi-hiza-gatame;;ude-hishigi-sankaku-gatame;marrom;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: domínio do braço estendido em cruz;ude-hishigi-jūji-gatame;ude-hishigi-ude-gatame;ude-hishigi-waki-gatame;ude-hishigi-hara-gatame;;ude-hishigi-jūji-gatame;azul;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: enlace da perna;ashi-garami;ude-hishigi-ashi-gatame;ude-hishigi-hiza-gatame;ude-garami;;ashi-garami;roxa;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
Técnica: enlace do braço;ude-garami;ude-hishigi-ude-gatame;ude-hishigi-ashi-gatame;ashi-garami;;ude-garami;cinza;;Luiz Pavani;instagram.com/luizpavani;;Terminologia
